CreateDate,Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,CreateDate,PnL,Cumulative PnL
2021-01-19 12:10:00,ZW/H1,Limit - Buy,WHEAT 3/11,US,1,1.0,USD,Futures,671.5,01/19/2021 - 12:10,-10.0,-10.0
2021-01-21 14:14:00,ZW/H1,Market - Sell,WHEAT 3/11,US,-1,1.0,USD,Futures,660.5,01/21/2021 - 14:14,-560.0,-570.0
2021-01-22 12:01:00,ZW/H1,Market - Short,WHEAT 3/11,US,-1,1.0,USD,Futures,643.0,01/22/2021 - 12:01,-10.0,-580.0
2021-01-22 13:04:00,ZW/H1,Market - Cover,WHEAT 3/11,US,1,1.0,USD,Futures,636.75,01/22/2021 - 13:04,302.5,-277.5
2021-01-22 14:11:00,ZW/H1,Market - Short,WHEAT 3/11,US,-1,1.0,USD,Futures,633.5,01/22/2021 - 14:11,-10.0,-287.5
2021-01-22 14:19:00,ZW/H1,Market - Cover,WHEAT 3/11,US,1,1.0,USD,Futures,635.5,01/22/2021 - 14:19,-110.0,-397.5
2021-01-25 14:16:00,ZW/H1,Market - Buy,WHEAT 3/11,US,1,1.0,USD,Futures,649.25,01/25/2021 - 14:16,-10.0,-407.5
2021-01-26 10:11:00,ZW/H1,Market - Sell,WHEAT 3/11,US,-1,1.0,USD,Futures,662.5,01/26/2021 - 10:11,652.5,245.0
2021-01-27 09:49:00,ZW/H1,Market - Short,WHEAT 3/11,US,-1,1.0,USD,Futures,657.75,01/27/2021 - 09:49,-10.0,235.0
2021-01-27 20:00:00,ZW/H1,Market - Cover,WHEAT 3/11,US,1,1.0,USD,Futures,654.5,01/27/2021 - 20:00,152.5,387.5
2021-02-03 13:27:00,RB/K1,Market - Buy,RBOB Gasoline Futures MAY 21,US,1,1.0,USD,Futures,1.7376,02/03/2021 - 13:27,-10.0,377.5
2021-02-03 13:57:00,RB/K1,Market - Sell,RBOB Gasoline Futures MAY 21,US,-1,1.0,USD,Futures,1.7412,02/03/2021 - 13:57,141.200000000002,518.700000000002
2021-02-10 09:37:00,RB/K1,Market - Buy,RBOB Gasoline Futures MAY 21,US,1,1.0,USD,Futures,1.7954,02/10/2021 - 09:37,-10.0,508.700000000002
2021-02-18 10:21:00,RB/K1,Market - Sell,RBOB Gasoline Futures MAY 21,US,-1,1.0,USD,Futures,1.8713,02/18/2021 - 10:21,3177.799999999994,3686.499999999996
2021-03-03 09:47:00,GC/H1,Market - Short,GOLD 3/11,US,-1,1.0,USD,Futures,1709.4,03/03/2021 - 09:47,-10.0,3676.499999999996
2021-03-03 09:48:00,GC/H1,Market - Cover,GOLD 3/11,US,1,1.0,USD,Futures,1709.4,03/03/2021 - 09:48,-10.0,3666.499999999996
2021-03-03 09:52:00,GC/J1,Market - Short,GOLD 4/11,US,-1,1.0,USD,Futures,1708.7,03/03/2021 - 09:52,-10.0,3656.499999999996
2021-03-04 15:16:00,GC/J1,Limit - Cover,GOLD 4/11,US,1,1.0,USD,Futures,1693.0,03/04/2021 - 15:16,1560.0000000000045,5216.5
2021-03-09 09:31:00,BTC/H1,Market - Buy,Bitcoin Futures MAR 21,US,1,1.0,USD,Futures,55060.0,03/09/2021 - 09:31,-10.0,5206.5
2021-03-09 09:32:00,GC/M1,Market - Short,GOLD 6/11,US,-1,1.0,USD,Futures,1717.0,03/09/2021 - 09:32,-10.0,5196.5
2021-03-10 09:39:00,BTC/H1,Limit - Sell,Bitcoin Futures MAR 21,US,-1,1.0,USD,Futures,56510.0,03/10/2021 - 09:39,7240.0,12436.5
2021-03-12 10:07:00,GC/M1,Market - Cover,GOLD 6/11,US,1,1.0,USD,Futures,1705.6,03/12/2021 - 10:07,1130.000000000009,13566.50000000001
