Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,CreateDate
CL/K1,Market - Sell,OIL CRUDE (SWEET) 5/11,US,-1,1.00,USD,Futures,$57.4200,02/08/2021 - 11:48
NG/H1,Limit - Buy,GAS NATURAL 3/11,US,1,1.00,USD,Futures,$2.8670,02/08/2021 - 10:51
BZ/J1,Limit - Buy,Brent Last Day Financial Futures APR 21,US,2,1.00,USD,Futures,$59.6500,02/05/2021 - 11:33
NG/H1,Market - Sell,GAS NATURAL 3/11,US,-1,1.00,USD,Futures,$2.9880,02/05/2021 - 10:07
NG/H1,Market - Buy,GAS NATURAL 3/11,US,1,1.00,USD,Futures,$2.8060,02/04/2021 - 09:43
RB/K1,Market - Sell,RBOB Gasoline Futures MAY 21,US,-1,1.00,USD,Futures,$1.7412,02/03/2021 - 13:57
RB/K1,Market - Buy,RBOB Gasoline Futures MAY 21,US,1,1.00,USD,Futures,$1.7376,02/03/2021 - 13:27
CL/M1,Market - Cover,OIL CRUDE (SWEET) 6/11,US,1,1.00,USD,Futures,$55.2800,02/03/2021 - 12:05
CL/H1,Market - Sell,OIL CRUDE (SWEET) 3/11,US,-1,1.00,USD,Futures,$56.0700,02/03/2021 - 10:46
C/K1,Market - Sell,CORN 5/11,US,-2,1.00,USD,Futures,$537.7500,02/03/2021 - 10:06
CL/M1,Market - Short,OIL CRUDE (SWEET) 6/11,US,-1,1.00,USD,Futures,$53.9300,02/02/2021 - 12:46
CL/K1,Limit - Buy,OIL CRUDE (SWEET) 5/11,US,1,1.00,USD,Futures,$54.5900,02/02/2021 - 11:43
CL/H1,Stop - Buy,OIL CRUDE (SWEET) 3/11,US,1,1.00,USD,Futures,$54.8500,02/02/2021 - 11:33
SI/K1,Market - Cover,SILVER 5000 OZ. 5/11,US,1,1.00,USD,Futures,$26.8750,02/02/2021 - 10:44
SI/K1,Market - Short,SILVER 5000 OZ. 5/11,US,-1,1.00,USD,Futures,$26.9950,02/02/2021 - 10:35
SI/H1,Market - Buy,SILVER 5000 OZ. 3/11,US,1,1.00,USD,Futures,$29.6100,02/01/2021 - 10:06
ZK/H1,Market - Sell,SOYBEANS 3/11,US,-1,1.00,USD,Futures,"$1,379.5000",02/01/2021 - 00:00
C/K1,Limit - Buy,CORN 5/11,US,2,1.00,USD,Futures,$536.0000,01/28/2021 - 14:03
C/K1,Market - Sell,CORN 5/11,US,-1,1.00,USD,Futures,$538.5000,01/28/2021 - 13:04
C/K1,Limit - Buy,CORN 5/11,US,1,1.00,USD,Futures,$536.0000,01/28/2021 - 11:44
ZW/H1,Market - Cover,WHEAT 3/11,US,1,1.00,USD,Futures,$654.5000,01/27/2021 - 20:00
ZW/H1,Market - Short,WHEAT 3/11,US,-1,1.00,USD,Futures,$657.7500,01/27/2021 - 09:49
ZW/H1,Market - Sell,WHEAT 3/11,US,-1,1.00,USD,Futures,$662.5000,01/26/2021 - 10:11
C/H1,Market - Short,CORN 3/11,US,-2,1.00,USD,Futures,$511.0000,01/25/2021 - 16:05
ZW/H1,Market - Buy,WHEAT 3/11,US,1,1.00,USD,Futures,$649.2500,01/25/2021 - 14:16
LE/G1,Market - Sell,CATTLE LIVE 2/11,US,-5,1.00,USD,Futures,$116.7250,01/25/2021 - 13:19
LE/M1,Market - Sell,CATTLE LIVE 6/11,US,-2,1.00,USD,Futures,$118.7250,01/25/2021 - 12:07
C/H1,Market - Short,CORN 3/11,US,-1,1.00,USD,Futures,$499.5000,01/22/2021 - 14:47
C/H1,Market - Sell,CORN 3/11,US,-1,1.00,USD,Futures,$499.5000,01/22/2021 - 14:46
C/H1,Market - Buy,CORN 3/11,US,1,1.00,USD,Futures,$501.5000,01/22/2021 - 14:45
ZW/H1,Market - Cover,WHEAT 3/11,US,1,1.00,USD,Futures,$635.5000,01/22/2021 - 14:19
ZW/H1,Market - Short,WHEAT 3/11,US,-1,1.00,USD,Futures,$633.5000,01/22/2021 - 14:11
LE/G1,Market - Buy,CATTLE LIVE 2/11,US,5,1.00,USD,Futures,$116.5500,01/22/2021 - 13:49
LE/J1,Market - Sell,CATTLE LIVE 4/11,US,-2,1.00,USD,Futures,$122.3000,01/22/2021 - 13:39
LE/M1,Market - Buy,CATTLE LIVE 6/11,US,1,1.00,USD,Futures,$118.4750,01/22/2021 - 13:37
LE/M1,Market - Buy,CATTLE LIVE 6/11,US,1,1.00,USD,Futures,$118.3250,01/22/2021 - 13:32
C/K1,Market - Cover,CORN 5/11,US,1,1.00,USD,Futures,$507.5000,01/22/2021 - 13:17
ZW/H1,Market - Cover,WHEAT 3/11,US,1,1.00,USD,Futures,$636.7500,01/22/2021 - 13:04
C/H1,Market - Sell,CORN 3/11,US,-2,1.00,USD,Futures,$502.5000,01/22/2021 - 12:33
LE/J1,Market - Buy,CATTLE LIVE 4/11,US,1,1.00,USD,Futures,$122.0500,01/22/2021 - 12:09
ZW/H1,Market - Short,WHEAT 3/11,US,-1,1.00,USD,Futures,$643.0000,01/22/2021 - 12:01
C/K1,Market - Short,CORN 5/11,US,-1,1.00,USD,Futures,$517.7500,01/22/2021 - 11:09
ZW/H1,Market - Sell,WHEAT 3/11,US,-1,1.00,USD,Futures,$660.5000,01/21/2021 - 14:14
LE/G1,Market - Cover,CATTLE LIVE 2/11,US,2,1.00,USD,Futures,$114.0500,01/21/2021 - 12:59
LE/J1,Market - Buy,CATTLE LIVE 4/11,US,1,1.00,USD,Futures,$119.7750,01/21/2021 - 11:11
LE/G1,Market - Short,CATTLE LIVE 2/11,US,-2,1.00,USD,Futures,$114.0750,01/21/2021 - 11:11
LE/G1,Market - Sell,CATTLE LIVE 2/11,US,-1,1.00,USD,Futures,$114.1250,01/21/2021 - 11:06
C/H1,Stop - Buy,CORN 3/11,US,1,1.00,USD,Futures,$525.2500,01/21/2021 - 10:58
C/H1,Market - Buy,CORN 3/11,US,1,1.00,USD,Futures,$527.2500,01/21/2021 - 10:28
ZK/H1,Market - Buy,SOYBEANS 3/11,US,1,1.00,USD,Futures,"$1,388.7500",01/19/2021 - 12:50
LE/G1,Market - Buy,CATTLE LIVE 2/11,US,1,1.00,USD,Futures,$113.4750,01/19/2021 - 12:43
ZW/H1,Limit - Buy,WHEAT 3/11,US,1,1.00,USD,Futures,$671.5000,01/19/2021 - 12:10
